...1,geo_type,region,transportation_type,alternative_name,sub.region,country,Date,Mobility_value
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.10,169.26
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.11,191.34
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.12,179.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.13,141.68
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.14,156
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.15,159.46
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.16,163.78
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.17,158.7
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.18,185.74
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.19,173.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.20,129.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.21,150.22
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.22,150.06
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.23,155.99
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.24,154.02
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.25,175.06
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.26,169.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.27,125.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.28,143.75
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.29,143.83
174,city,Anchorage,driving,NA,Alaska,United States,X2020.09.30,147.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.01,149.25
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.02,174.74
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.03,155.72
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.04,117.84
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.05,140.36
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.06,137.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.07,140.2
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.08,141.1
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.09,164.51
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.10,151.59
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.11,110.61
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.12,134.3
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.13,131.92
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.14,135.4
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.15,140.79
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.16,159.22
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.17,146.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.18,103.09
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.19,134.19
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.20,134.05
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.21,136.76
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.22,136.58
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.23,153.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.24,143.05
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.25,102.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.26,121.67
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.27,128.65
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.28,128.17
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.29,130.95
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.30,154.16
174,city,Anchorage,driving,NA,Alaska,United States,X2020.10.31,143.83
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.01,104.25
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.02,121.16
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.03,129.71
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.04,115
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.05,113.75
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.06,140.98
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.07,117.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.08,86.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.09,114.07
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.10,114.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.11,120.75
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.12,102.5
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.13,129.48
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.14,114.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.15,90.84
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.16,112.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.17,111.62
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.18,112.6
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.19,117.1
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.20,129.85
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.21,113.75
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.22,91.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.23,116.18
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.24,113.06
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.25,118.15
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.26,59.63
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.27,98.13
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.28,103.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.29,87.26
174,city,Anchorage,driving,NA,Alaska,United States,X2020.11.30,109.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.01,108.3
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.02,111.73
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.03,113.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.04,127.63
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.05,113.3
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.06,90.11
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.07,107.15
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.08,109.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.09,114.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.10,114.54
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.11,133.56
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.12,122.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.13,92.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.14,113.19
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.15,119.52
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.16,123.07
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.17,123.33
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.18,142.43
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.19,124.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.20,104.14
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.21,135.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.22,130.62
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.23,139.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.24,111.22
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.25,54.1
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.26,96.47
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.27,88.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.28,113.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.29,118.54
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.30,124.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.12.31,125.96
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.01,92.27
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.02,113.47
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.03,93.82
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.04,115.63
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.05,116.8
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.06,113.53
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.07,111.54
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.08,128.02
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.09,117.11
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.10,94.88
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.11,114.57
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.12,108.84
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.13,112.24
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.14,115.4
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.15,131.77
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.16,117.67
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.17,95.02
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.18,103.13
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.19,102.57
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.20,111.4
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.21,110.61
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.22,126.56
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.23,112.85
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.24,91.85
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.25,111.48
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.26,110.1
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.27,109.64
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.28,109.93
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.29,127.11
174,city,Anchorage,driving,NA,Alaska,United States,X2021.01.30,121.04
